Analyzing amiraly...                                            

   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:629:50 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:677:52 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:680:37 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:765:30 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:766:30 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:773:35 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:801:55 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:823:46 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:897:43 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:934:31 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:936:50 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\mainprog\screen\catogriesScreens\indicators.dart:1036:58 - deprecated_member_use
   info - Don't invoke 'print' in production code - lib\app\features\mainprog\screen\catogriesScreens\indicators_controller.dart:149:7 - avoid_print
